Classification,FilePath,ClassName,CurrentResponsibility,Dependencies,BlackClockConcept,DragonBoundModule,EstimatedChange,ExistingTests,MigrationRisk
D,Assets/BlackClockAlpha/Tests/EditMode/Supply/Logic/SupplyEconomyTests.cs,SupplyEconomyTests,Tests three-wave claim economy,Supply logic; wave,鍖婚櫌琛ョ粰,Forbidden,Do not migrate,1 EditMode test passed,Prohibited
D,Assets/BlackClockAlpha/Tests/EditMode/Supply/Logic/SupplyQueueAndCommitTests.cs,SupplyQueueAndCommitTests,Tests queued claims; destination failures and event publication,Supply; Workbench; CoreSlot,鍖婚櫌琛ョ粰; Core Slot,Forbidden,Do not migrate,5 EditMode tests passed,Prohibited
D,Assets/BlackClockAlpha/Tests/EditMode/Supply/Logic/SupplyTestDoubles.cs,FakeSupplyDestination; FakePauseControl; FakeWorkbench; FakeCoreSlot; SupplyFixture,Test doubles for hospital supply integration,Supply; CoreSlot; Workbench,鍖婚櫌琛ョ粰; Core Slot,Forbidden,Do not migrate,Consumed by prohibited tests,Prohibited
C,Assets/BlackClockAlpha/Tests/EditMode/Workbench/DefinitionCatalogValidationTests.cs,DefinitionCatalogValidationTests,Tests Alpha item/recipe uniqueness and no combat fields,Data validator; Unity assets,Alpha-only identity and recipe content,DragonBound/Tests,Rewrite for DragonBound definitions and forbidden-field checks,2 EditMode tests passed,Medium
C,Assets/BlackClockAlpha/Tests/EditMode/Workbench/RecipeMergeResolverTests.cs,RecipeMergeResolverTests,Tests unordered item recipes and one-star upgrade,Workbench; Data,Alpha item IDs and stars,DragonBound/Tests,Retain pair-order/atomic assertions with new data,2 parameterized test groups passed,Medium
C,Assets/BlackClockAlpha/Tests/EditMode/Workbench/WorkbenchLayoutTests.cs,WorkbenchLayoutTests,Tests exactly twelve ordered empty slots,Workbench,12-slot Alpha Workbench,DragonBound/Tests,Rewrite for 6 battle + 5 bench occupancy,1 EditMode test passed,High
C,Assets/BlackClockAlpha/Tests/EditMode/Workbench/WorkbenchTestFixtures.cs,WorkbenchTestFixtures; CountingResolver; InvalidOutputResolver; InvalidInputResolver,Workbench test builders and resolver doubles,12-slot workbench fixture,Alpha Workbench,DragonBound/Tests,Rewrite fixtures for new grid and unit models,Fixture consumed by Workbench tests,Medium
C,Assets/BlackClockAlpha/Tests/EditMode/Workbench/WorkbenchTransactionTests.cs,WorkbenchTransactionTests,Tests atomic drop/swap/merge/full/failure event behavior,Workbench; Data; resolver,12-slot Alpha Workbench and Alpha recipes,DragonBound/Tests,Retain atomicity tests; replace slot/rule assertions,7 EditMode tests passed,High
D,Assets/BlackClockAlpha/Tests/PlayMode/Combat/Units/ProfessionCombatPlayModeBaselineTests.cs,ProfessionCombatPlayModeBaselineTests,PlayMode damage/defeat test for Alpha unit port,EnemyField; Profession combat,BlackClock profession,Forbidden,Do not migrate,1 PlayMode test passed,Prohibited
C,Assets/BlackClockAlpha/Tests/PlayMode/Combat/Waves/NormalWavePlayModeBaselineTests.cs,NormalWavePlayModeBaselineTests,PlayMode 33-enemy three-wave frame baseline,NormalWaveController; EnemyField,Three-wave Alpha schedule,DragonBound/Tests,Rewrite for target wave counts and residual policy,1 PlayMode test passed,High
D,Assets/BlackClockAlpha/Tests/PlayMode/Diagnostics/DiagnosticPanelBoundaryTests.cs,DiagnosticPanelBoundaryTests,PlayMode non-development diagnostic policy boundary,DiagnosticAccessPolicy; RunController,Alpha diagnostics and preset semantics,Forbidden,Do not migrate; write DragonBound diagnostic boundary anew,1 PlayMode test passed,High
D,Assets/BlackClockAlpha/Tests/PlayMode/Supply/SupplyPauseIntegrationTests.cs,SupplyPauseIntegrationTests,PlayMode supply choice pause gates fixture clocks,Supply; pause; infection fixture,鍖婚櫌琛ョ粰; Infection,Forbidden,Do not migrate,1 PlayMode test passed,Prohibited
C,Assets/BlackClockAlpha/Tests/PlayMode/Workbench/WorkbenchEventDrivenTests.cs,WorkbenchEventDrivenTests,PlayMode idle frames and one occupied drop merge event,Workbench; resolver,Alpha Workbench event semantics,DragonBound/Tests,Rewrite around DragonBound drag/merge events,1 PlayMode test passed,Medium
C,Assets/BlackClockAlpha/Config/Diagnostics/DiagnosticPresetCatalog.asset,DiagnosticPresetCatalog asset,References three Alpha diagnostic presets,DiagnosticPresetCatalog script,Infection; Alpha diagnostics,Diagnostics,Do not copy; create DragonBound diagnostics asset,None beyond DiagnosticPresetTests,High
D,Assets/BlackClockAlpha/Config/Diagnostics/DiagnosticPreset_A_0.asset,DiagnosticPresetDefinition asset,0 percent initial infection preset,DiagnosticPresetDefinition,Infection,Forbidden,Do not migrate,None,Prohibited
D,Assets/BlackClockAlpha/Config/Diagnostics/DiagnosticPreset_B_35.asset,DiagnosticPresetDefinition asset,35 percent initial infection preset,DiagnosticPresetDefinition,Infection,Forbidden,Do not migrate,None,Prohibited
D,Assets/BlackClockAlpha/Config/Diagnostics/DiagnosticPreset_C_65.asset,DiagnosticPresetDefinition asset,65 percent initial infection preset,DiagnosticPresetDefinition,Infection,Forbidden,Do not migrate,None,Prohibited
C,Assets/BlackClockAlpha/Config/Enemies/Common/Enemy_BloatedGiant.asset,EnemyDefinition asset,Alpha normal enemy stat configuration,EnemyDefinition script,Alpha enemy and lane values,DragonBound/Enemies,Use only as data-shape reference; rewrite stats,None; NormalWaveAssetTests,High
C,Assets/BlackClockAlpha/Config/Enemies/Common/Enemy_Infected.asset,EnemyDefinition asset,Alpha normal enemy stat configuration,EnemyDefinition script,Infected enemy name and leak values,DragonBound/Enemies,Do not copy content; rewrite enemy data,None; NormalWaveAssetTests,High
C,Assets/BlackClockAlpha/Config/Enemies/Common/Enemy_PlagueCultist.asset,EnemyDefinition asset,Alpha normal enemy stat configuration,EnemyDefinition script,Plague/BlackClock content,DragonBound/Enemies,Do not copy content; rewrite enemy data,None; NormalWaveAssetTests,High
C,Assets/BlackClockAlpha/Config/Enemies/Common/Enemy_RatSwarm.asset,EnemyDefinition asset,Alpha normal enemy stat configuration,EnemyDefinition script,Alpha enemy values,DragonBound/Enemies,Use only validation shape; rewrite data,None; NormalWaveAssetTests,Medium
D,Assets/BlackClockAlpha/Config/Items/AlphaWorkbenchCatalog.asset,WorkbenchCatalogDefinition asset,References Alpha items and recipes,WorkbenchCatalogDefinition,Alpha Workbench,Forbidden,Do not migrate,None; DefinitionCatalogValidationTests,Prohibited
D,Assets/BlackClockAlpha/Config/Items/Equipment_Lantern.asset,ItemDefinition asset,Alpha equipment item,ItemDefinition,Doctor/equipment Alpha item,Forbidden,Do not migrate,None; catalog tests,Prohibited
D,Assets/BlackClockAlpha/Config/Items/Equipment_Musket.asset,ItemDefinition asset,Alpha equipment item,ItemDefinition,Blackpowder weapon,Forbidden,Do not migrate,None; catalog tests,Prohibited
D,Assets/BlackClockAlpha/Config/Items/Equipment_Shield.asset,ItemDefinition asset,Alpha equipment item,ItemDefinition,Quarantine Warden equipment,Forbidden,Do not migrate,None; catalog tests,Prohibited
D,Assets/BlackClockAlpha/Config/Items/Equipment_Staff.asset,ItemDefinition asset,Alpha equipment item,ItemDefinition,Miasma/Alpha equipment,Forbidden,Do not migrate,None; catalog tests,Prohibited
D,Assets/BlackClockAlpha/Config/Items/Item_BeakDoctor.asset,ItemDefinition asset,Alpha doctor item,ItemDefinition,Doctor/BlackClock item,Forbidden,Do not migrate,None; catalog tests,Prohibited
D,Assets/BlackClockAlpha/Config/Recipes/Recipe_Create_BlackpowderDoctor.asset,MergeRecipeDefinition asset,Creates Blackpowder Doctor from Alpha items,MergeRecipeDefinition; ItemDefinition,Blackpowder Doctor,Forbidden,Do not migrate,None; RecipeMergeResolverTests,Prohibited
D,Assets/BlackClockAlpha/Config/Recipes/Recipe_Create_MiasmaDoctor.asset,MergeRecipeDefinition asset,Creates Miasma Doctor from Alpha items,MergeRecipeDefinition; ItemDefinition,Miasma Doctor; Infection-associated profession,Forbidden,Do not migrate,None; RecipeMergeResolverTests,Prohibited
D,Assets/BlackClockAlpha/Config/Recipes/Recipe_Create_Purifier.asset,MergeRecipeDefinition asset,Creates Purifier from Alpha items,MergeRecipeDefinition; ItemDefinition,Purifier; treatment,Forbidden,Do not migrate,None; RecipeMergeResolverTests,Prohibited
D,Assets/BlackClockAlpha/Config/Recipes/Recipe_Create_QuarantineWarden.asset,MergeRecipeDefinition asset,Creates Quarantine Warden from Alpha items,MergeRecipeDefinition; ItemDefinition,Quarantine Warden;璺殰,Forbidden,Do not migrate,None; RecipeMergeResolverTests,Prohibited
D,Assets/BlackClockAlpha/Config/Recipes/Recipe_Upgrade_BlackpowderDoctor.asset,MergeRecipeDefinition asset,Upgrades Blackpowder Doctor star,MergeRecipeDefinition; UnitIdentityDefinition,Blackpowder Doctor,Forbidden,Do not migrate,None; RecipeMergeResolverTests,Prohibited
D,Assets/BlackClockAlpha/Config/Recipes/Recipe_Upgrade_MiasmaDoctor.asset,MergeRecipeDefinition asset,Upgrades Miasma Doctor star,MergeRecipeDefinition; UnitIdentityDefinition,Miasma Doctor,Forbidden,Do not migrate,None; RecipeMergeResolverTests,Prohibited
D,Assets/BlackClockAlpha/Config/Recipes/Recipe_Upgrade_Purifier.asset,MergeRecipeDefinition asset,Upgrades Purifier star,MergeRecipeDefinition; UnitIdentityDefinition,Purifier; treatment,Forbidden,Do not migrate,None; RecipeMergeResolverTests,Prohibited
D,Assets/BlackClockAlpha/Config/Recipes/Recipe_Upgrade_QuarantineWarden.asset,MergeRecipeDefinition asset,Upgrades Quarantine Warden star,MergeRecipeDefinition; UnitIdentityDefinition,Quarantine Warden;璺殰,Forbidden,Do not migrate,None; RecipeMergeResolverTests,Prohibited
D,Assets/BlackClockAlpha/Config/Supply/NormalSupplyDefinition.asset,SupplyDefinition asset,Alpha normal hospital supply configuration,SupplyDefinition; ItemDefinition,鍖婚櫌琛ョ粰,Forbidden,Do not migrate,None; SupplyDefinitionTests,Prohibited
D,Assets/BlackClockAlpha/Config/Units/Combat/AlphaProfessionCombatCatalog.asset,ProfessionCombatCatalog asset,References eight Alpha doctor combat definitions,ProfessionCombatCatalog,BlackClock professions; treatment;璺殰,Forbidden,Do not migrate,None; ProfessionCombatConfigTests,Prohibited
D,Assets/BlackClockAlpha/Config/Units/Combat/UnitCombat_BlackpowderDoctor_1Star.asset,ProfessionCombatDefinition asset,Blackpowder one-star stats,ProfessionCombatDefinition,Blackpowder Doctor,Forbidden,Do not migrate,None; ProfessionCombatConfigTests,Prohibited
D,Assets/BlackClockAlpha/Config/Units/Combat/UnitCombat_BlackpowderDoctor_2Star.asset,ProfessionCombatDefinition asset,Blackpowder two-star stats,ProfessionCombatDefinition,Blackpowder Doctor,Forbidden,Do not migrate,None; ProfessionCombatConfigTests,Prohibited
D,Assets/BlackClockAlpha/Config/Units/Combat/UnitCombat_MiasmaDoctor_1Star.asset,ProfessionCombatDefinition asset,Miasma one-star stats,ProfessionCombatDefinition,Miasma; Infection,Forbidden,Do not migrate,None; ProfessionCombatConfigTests,Prohibited
D,Assets/BlackClockAlpha/Config/Units/Combat/UnitCombat_MiasmaDoctor_2Star.asset,ProfessionCombatDefinition asset,Miasma two-star stats,ProfessionCombatDefinition,Miasma; Infection,Forbidden,Do not migrate,None; ProfessionCombatConfigTests,Prohibited
D,Assets/BlackClockAlpha/Config/Units/Combat/UnitCombat_Purifier_1Star.asset,ProfessionCombatDefinition asset,Purifier one-star stats,ProfessionCombatDefinition,Purifier; treatment,Forbidden,Do not migrate,None; ProfessionCombatConfigTests,Prohibited
D,Assets/BlackClockAlpha/Config/Units/Combat/UnitCombat_Purifier_2Star.asset,ProfessionCombatDefinition asset,Purifier two-star stats and healing,ProfessionCombatDefinition,Purifier; treatment; Lumen,Forbidden,Do not migrate,None; ProfessionCombatConfigTests,Prohibited
D,Assets/BlackClockAlpha/Config/Units/Combat/UnitCombat_QuarantineWarden_1Star.asset,ProfessionCombatDefinition asset,Warden one-star block stats,ProfessionCombatDefinition,Quarantine Warden;璺殰,Forbidden,Do not migrate,None; ProfessionCombatConfigTests,Prohibited
D,Assets/BlackClockAlpha/Config/Units/Combat/UnitCombat_QuarantineWarden_2Star.asset,ProfessionCombatDefinition asset,Warden two-star block stats,ProfessionCombatDefinition,Quarantine Warden;璺殰,Forbidden,Do not migrate,None; ProfessionCombatConfigTests,Prohibited
D,Assets/BlackClockAlpha/Config/Units/Identity/Unit_BlackpowderDoctor_1Star.asset,UnitIdentityDefinition asset,Blackpowder one-star identity,UnitIdentityDefinition,Blackpowder Doctor,Forbidden,Do not migrate,None; RecipeMergeResolverTests,Prohibited
D,Assets/BlackClockAlpha/Config/Units/Identity/Unit_BlackpowderDoctor_2Star.asset,UnitIdentityDefinition asset,Blackpowder two-star identity,UnitIdentityDefinition,Blackpowder Doctor,Forbidden,Do not migrate,None; RecipeMergeResolverTests,Prohibited
D,Assets/BlackClockAlpha/Config/Units/Identity/Unit_MiasmaDoctor_1Star.asset,UnitIdentityDefinition asset,Miasma one-star identity,UnitIdentityDefinition,Miasma; Infection,Forbidden,Do not migrate,None; RecipeMergeResolverTests,Prohibited
D,Assets/BlackClockAlpha/Config/Units/Identity/Unit_MiasmaDoctor_2Star.asset,UnitIdentityDefinition asset,Miasma two-star identity,UnitIdentityDefinition,Miasma; Infection,Forbidden,Do not migrate,None; RecipeMergeResolverTests,Prohibited
D,Assets/BlackClockAlpha/Config/Units/Identity/Unit_Purifier_1Star.asset,UnitIdentityDefinition asset,Purifier one-star identity,UnitIdentityDefinition,Purifier; treatment,Forbidden,Do not migrate,None; RecipeMergeResolverTests,Prohibited
D,Assets/BlackClockAlpha/Config/Units/Identity/Unit_Purifier_2Star.asset,UnitIdentityDefinition asset,Purifier two-star identity,UnitIdentityDefinition,Purifier; treatment,Forbidden,Do not migrate,None; RecipeMergeResolverTests,Prohibited
D,Assets/BlackClockAlpha/Config/Units/Identity/Unit_QuarantineWarden_1Star.asset,UnitIdentityDefinition asset,Warden one-star identity,UnitIdentityDefinition,Quarantine Warden;璺殰,Forbidden,Do not migrate,None; RecipeMergeResolverTests,Prohibited
D,Assets/BlackClockAlpha/Config/Units/Identity/Unit_QuarantineWarden_2Star.asset,UnitIdentityDefinition asset,Warden two-star identity,UnitIdentityDefinition,Quarantine Warden;璺殰,Forbidden,Do not migrate,None; RecipeMergeResolverTests,Prohibited
C,Assets/BlackClockAlpha/Config/Waves/Normal/NormalWaveCatalog.asset,NormalWaveCatalog asset,References three Normal wave assets,NormalWaveCatalog,Three-wave Alpha schedule,DragonBound/Waves,Use as asset wiring example; create 15-wave catalog,None; NormalWaveAssetTests,High
C,Assets/BlackClockAlpha/Config/Waves/Normal/Wave_Normal_01.asset,NormalWaveDefinition asset,Alpha wave one schedule and reward,NormalWaveDefinition; EnemyDefinition,Normal wave and lane schedule,DragonBound/Waves,Rewrite counts/enemies/residual policy,None; NormalWaveAssetTests,High
C,Assets/BlackClockAlpha/Config/Waves/Normal/Wave_Normal_02.asset,NormalWaveDefinition asset,Alpha wave two schedule and reward,NormalWaveDefinition; EnemyDefinition,Normal wave and lane schedule,DragonBound/Waves,Rewrite counts/enemies/residual policy,None; NormalWaveAssetTests,High
C,Assets/BlackClockAlpha/Config/Waves/Normal/Wave_Normal_03.asset,NormalWaveDefinition asset,Alpha wave three schedule and reward,NormalWaveDefinition; EnemyDefinition,Normal wave and lane schedule,DragonBound/Waves,Rewrite counts/enemies/residual policy,None; NormalWaveAssetTests,High

